fe,83094.49139045768
game,43631.672126168676
corrin,39396.38380247276
units,37982.897272947914
awakening,37872.55254421729
like,32942.633562011244
emblem,31996.905642781894
fates,30770.915139697416
chapter,30548.201362604625
chrom,25534.42309782244
really,25004.524652778502
unit,24616.88490053598
characters,24071.708261331292
character,23585.985889383137
would,23359.745884367996
conquest,20558.557685208278
good,20385.601273246928
get,19787.592041238448
games,19423.484548911947
even,19421.936726754284
nohr,19153.733863832244
think,19121.913405633608
ike,18576.95590531542
fire,18005.140382141424
much,17214.30337370549
lucina,17113.72224186086
birthright,16984.97127053859
use,16544.41568688506
pretty,16524.756569527115
though,16341.764097090816
better,16158.036319951028
gt,15679.364626831495
well,15491.671719866225
supports,15332.640015518184
hoshido,15178.137937177058
still,15066.020096476104
growths,14872.864831360232
ryoma,14860.248913011319
support,14694.276435735628
actually,14682.963108162416
people,14428.227530827417
camilla,14317.525875083915
knight,14295.692257412356
level,14196.647096939563
could,13847.209481659878
make,13710.528909331862
eliwood,13670.037838279808
class,13635.858368128944
azura,13558.374624934806
marth,13441.46277772234
map,13322.126776221656
stats,13259.423723750371
best,13166.763225848888
know,12890.571375056463
since,12862.618675322019
xander,12830.111090929966
time,12605.97656082197
way,12194.99022942338
fireemblem,12040.628857526905
enemies,11928.767055342429
skill,11921.62481801184
bad,11857.24235193489
probably,11814.889192455272
lyn,11780.694386237928
hector,11754.843065629015
got,11676.171019466226
takumi,11542.55072487413
play,11477.645529799898
enemy,11467.789121310285
chapters,11437.408216424714
weapon,11314.776548695798
first,11255.694149191473
tellius,11247.190339985122
see,11230.311999152878
speed,11205.879697020086
lunatic,11205.544048251091
say,11172.338802232907
lot,11066.776470906147
dlc,11015.30921940472
magic,10983.601330616264
weapons,10681.425673612915
robin,10524.874345406159
sword,10515.323774446355
never,10265.876192665228
yeah,10260.046336369649
go,10017.376477334416
eirika,9992.704413223086
hard,9858.711285682237
least,9810.74052169493
skills,9734.576391253288
played,9709.015921616634
dragon,9663.825468160623
thing,9642.47198399118
tharja,9617.045762360427
going,9575.224889004163
ephraim,9556.074875225506
thracia,9551.602012645748
something,9541.853839367852
mozu,9476.537823843311
series,9414.29554308246
great,9379.866172304935
hinoka,9345.026965933728
point,9328.226528291942
makes,9249.936855801043
crit,9241.341208074346
elise,9216.574090285054
stat,9126.235343342614
need,9110.655968287252
give,9110.653003246302
story,9000.058132324968
sumia,8926.314927319085
right,8899.330847366919
always,8895.559712271925
owain,8819.677541300232
playthrough,8715.389257276196
gameplay,8708.938686900274
every,8701.129496936801
two,8651.539401207674
sure,8645.348698117627
gba,8632.512716922101
laslow,8446.299367300437
roy,8396.403399493982
niles,8380.488095942195
mode,8291.711993994762
feel,8286.023877010843
enough,8268.735381906758
effie,8249.688754574201
reclass,8224.120451809758
hit,8202.447208776075
cordelia,8200.026174411982
wyvern,8196.437735539512
mean,8130.009956376521
severa,8066.8910821798045
galeforce,8030.068458741871
beruka,7980.999036783314
oh,7976.942598210016
kill,7946.805016030947
kaze,7920.272647319375
odin,7885.1480454677
micaiah,7870.74025619902
everyone,7864.981695678617
lord,7845.74852832016
love,7808.789820476399
gaiden,7805.7111452330955
nowi,7763.365929571331
str,7758.665319701907
damage,7724.568886892243
playing,7684.301022056503
pair,7672.541636725877
rank,7619.330664734092
ds,7608.595212132145
gets,7578.458868584215
maybe,7576.841130445586
silas,7570.260399580683
garon,7519.320865656533
using,7500.339718853622
exp,7475.093324441926
sigurd,7410.42896229533
turn,7407.413315447906
lissa,7370.909249302647
either,7368.969159355363
things,7367.46390287373
avatar,7352.920396526629
made,7318.562076252976
rd,7309.036922058899
http,7268.934503943876
already,7233.436488767105
oboro,7222.000045758781
bit,7199.340167349203
favorite,7184.868860474531
growth,7172.877806400213
mage,7171.5575360106295
someone,7167.250606969258
x,7156.73306735822
back,7154.751358570863
soren,7105.656514119263
might,7084.012945125696
maps,6978.556570651778
strength,6970.912084062344
different,6929.6118993388745
fun,6868.897723407126
hp,6857.964391974908
run,6787.43710706815
said,6777.859075753188
getting,6757.592401704661
serenesforest,6755.54729771081
selena,6749.501556152204
reason,6733.042077617891
guess,6724.205412505942
part,6723.780368944591
classes,6718.214522789115
many,6667.950692538295
attack,6612.022828209437
around,6588.97278693837
donnel,6585.19765058897
dark,6584.92086552049
jakob,6578.947601940037
anything,6549.803652924906
kamui,6531.598534529539
felicia,6531.503123398933
radiant,6513.368145675705
laguz,6503.037851023453
saizo,6491.868919371889
thanks,6422.177153502434
far,6358.308968505086
worst,6351.552787997755
thought,6317.440935014205
boss,6306.259743456658
axe,6280.104239133967
inigo,6271.098372055406
shit,6266.108510243293
rinkah,6188.061627706796
range,6184.506858276183
sacred,6095.8101826628545
revelation,6082.474879594673
less,6061.934752048484
yes,6057.839751869465
bartre,6056.43119910971
nintendo,6030.801220483033
used,6021.681463871096
sakura,6015.382840068815
else,5969.012734076384
dawn,5961.794401799253
battle,5953.35853193124
kind,5951.02572930719
cool,5926.812644089389
little,5878.379697904839
leo,5861.3788207471625
swordmaster,5854.348181213342
base,5839.078601907628
reclassing,5795.255999094254
elincia,5786.580368953949
endgame,5782.609570283797
especially,5776.426464116262
bow,5773.919712608317
pick,5672.402543245933
basically,5669.838626511795
stones,5664.92094895127
able,5634.859761163904
vaike,5617.218260463884
second,5606.870640305991
knights,5603.847500959845
everything,5599.2973547272695
defense,5594.138304673202
early,5575.901875806485
grinding,5575.851777624652
staves,5571.721419466338
lance,5570.842237421036
imgur,5539.964372550354
ricken,5536.016385787383
kellam,5518.179055594695
