Frequency,T0Magnitude,T1Magnitude,T2Magnitude,T3Magnitude,T4Magnitude,T5Magnitude
556250000000,2.35409626,-1.025943828,-0.878879544,-0.878879544,-1.535766746,-1.501124873
556875000000,-1.032189733,-1.183249829,-0.969702763,-0.969702763,-1.834103214,-1.530291965
557500000000,-4.996182159,2.297663489,2.192294692,2.192294692,2.486401995,2.49286019
558125000000,-7.281599406,6.081803642,5.883314019,5.883314019,8.040309445,9.44126885
558750000000,-3.172879968,0.883951573,0.666463801,0.666463801,1.083033437,1.278591937
559375000000,-0.734375644,0.181551762,0.142311933,0.142311933,0.263955806,0.279036519
560000000000,1.43524533,-0.240672498,-0.151530769,-0.151530769,-0.465650301,-0.426652565
560625000000,-2.925936429,1.137047684,0.687934782,0.687934782,1.841760937,1.73862089
561250000000,-5.29548458,9.574369485,7.345273631,7.345273631,17.01279702,15.50433371
561875000000,-5.300193584,9.234780288,10.22476636,10.22476636,7.419953536,7.340552125
562500000000,-3.97131088,3.261836659,3.377952794,3.377952794,2.959527027,2.943474072
563125000000,-2.796328919,1.855356847,1.776140964,1.776140964,1.893253288,1.93971623
563750000000,-0.702486856,0.311426558,0.27146962,0.27146962,0.358489743,0.373719493
564375000000,14.53706756,-5.883913444,-6.418215811,-6.418215811,-6.043618724,-6.947559934
565000000000,4.680162972,0.42885394,0.016445159,0.016445159,2.122363132,2.18862162
565625000000,1.584098062,-1.458394806,-1.715425836,-1.715425836,-0.861915532,-0.936248102
566250000000,-0.090282009,-0.063294979,-0.098290319,-0.098290319,0.085575519,-0.101739316
566875000000,-7.760205523,0.227871063,0.219066679,0.219066679,0.325796707,-0.041380873
567500000000,-18.90504181,-0.471305051,-0.443232747,-0.443232747,-0.48372275,-0.869083652
568125000000,-11.46426539,2.574466585,2.58444496,2.58444496,2.454631987,2.183199871
568750000000,-18.02602887,1.649869239,1.751601381,1.751601381,1.420470247,1.32772413
569375000000,-9.520401913,-1.555588622,-1.677097536,-1.677097536,-1.218446359,-1.492416109
570000000000,-1.640167216,1.550418441,1.126636446,1.126636446,3.000869323,2.688434127
570625000000,-1.579881602,0.136531712,-0.039976821,-0.039976821,0.584636536,0.518512882
